LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(texto)
LINHA 2: IDENTIFIER(nome)
LINHA 2: DELIMITER($)
LINHA 3: KEYWORD(real)
LINHA 3: IDENTIFIER(nota1)
LINHA 3: DELIMITER($)
LINHA 4: KEYWORD(real)
LINHA 4: IDENTIFIER(nota2)
LINHA 4: DELIMITER($)
LINHA 5: KEYWORD(real)
LINHA 5: IDENTIFIER(nota3)
LINHA 5: DELIMITER($)
LINHA 6: KEYWORD(real)
LINHA 6: IDENTIFIER(media)
LINHA 6: DELIMITER($)
LINHA 7: KEYWORD(inteiro)
LINHA 7: IDENTIFIER(faltas)
LINHA 7: DELIMITER($)
LINHA 8: KEYWORD(booleano)
LINHA 8: IDENTIFIER(aprovado)
LINHA 8: DELIMITER($)
LINHA 10: IDENTIFIER(nome)
LINHA 10: ASSIGN(=)
LINHA 10: STRING(’Carlos’)
LINHA 10: DELIMITER($)
LINHA 11: IDENTIFIER(nota1)
LINHA 11: ASSIGN(=)
LINHA 11: REAL(8,5)
LINHA 11: DELIMITER($)
LINHA 12: IDENTIFIER(nota2)
LINHA 12: ASSIGN(=)
LINHA 12: REAL(7,0)
LINHA 12: DELIMITER($)
LINHA 13: IDENTIFIER(nota3)
LINHA 13: ASSIGN(=)
LINHA 13: REAL(9,0)
LINHA 13: DELIMITER($)
LINHA 14: IDENTIFIER(faltas)
LINHA 14: ASSIGN(=)
LINHA 14: INTEGER(3)
LINHA 14: DELIMITER($)
LINHA 15: IDENTIFIER(media)
LINHA 15: ASSIGN(=)
LINHA 15: DELIMITER(()
LINHA 15: IDENTIFIER(nota1)
LINHA 15: OPERATOR(+)
LINHA 15: IDENTIFIER(nota2)
LINHA 15: OPERATOR(+)
LINHA 15: IDENTIFIER(nota3)
LINHA 15: DELIMITER())
LINHA 15: OPERATOR(/)
LINHA 15: REAL(3,0)
LINHA 15: DELIMITER($)
LINHA 16: IDENTIFIER(aprovado)
LINHA 16: ASSIGN(=)
LINHA 16: KEYWORD(nao)
LINHA 16: DELIMITER($)
LINHA 18: KEYWORD(se)
LINHA 18: DELIMITER([)
LINHA 18: IDENTIFIER(media)
LINHA 18: OPERATOR(>=)
LINHA 18: OPERATOR(&&)
LINHA 18: IDENTIFIER(faltas)
LINHA 18: OPERATOR(<=)
LINHA 18: DELIMITER(])
LINHA 18: KEYWORD(faz)
LINHA 18: DELIMITER({)
LINHA 19: IDENTIFIER(aprovado)
LINHA 19: ASSIGN(=)
LINHA 19: KEYWORD(sim)
LINHA 19: DELIMITER($)
LINHA 20: KEYWORD(mostre)
LINHA 20: DELIMITER(()
LINHA 20: STRING(’Aluno aprovado.’)
LINHA 20: DELIMITER())
LINHA 20: DELIMITER($)
LINHA 21: KEYWORD(mostre)
LINHA 21: DELIMITER(()
LINHA 21: IDENTIFIER(nome)
LINHA 21: DELIMITER())
LINHA 21: DELIMITER($)
LINHA 22: KEYWORD(mostre)
LINHA 22: DELIMITER(()
LINHA 22: IDENTIFIER(media)
LINHA 22: DELIMITER())
LINHA 22: DELIMITER($)
LINHA 23: DELIMITER(})
LINHA 23: KEYWORD(senao)
LINHA 23: DELIMITER({)
LINHA 24: IDENTIFIER(aprovado)
LINHA 24: ASSIGN(=)
LINHA 24: KEYWORD(nao)
LINHA 24: DELIMITER($)
LINHA 25: KEYWORD(mostre)
LINHA 25: DELIMITER(()
LINHA 25: STRING(’Aluno reprovado.’)
LINHA 25: DELIMITER())
LINHA 25: DELIMITER($)
LINHA 26: KEYWORD(mostre)
LINHA 26: DELIMITER(()
LINHA 26: IDENTIFIER(nome)
LINHA 26: DELIMITER())
LINHA 26: DELIMITER($)
LINHA 27: KEYWORD(mostre)
LINHA 27: DELIMITER(()
LINHA 27: IDENTIFIER(media)
LINHA 27: DELIMITER())
LINHA 27: DELIMITER($)
LINHA 28: DELIMITER(})
LINHA 30: KEYWORD(se)
LINHA 30: DELIMITER([)
LINHA 30: IDENTIFIER(media)
LINHA 30: OPERATOR(==)
LINHA 30: OPERATOR(||)
LINHA 30: IDENTIFIER(faltas)
LINHA 30: OPERATOR(==)
LINHA 30: DELIMITER(])
LINHA 30: KEYWORD(faz)
LINHA 30: DELIMITER({)
LINHA 31: KEYWORD(mostre)
LINHA 31: DELIMITER(()
LINHA 31: STRING(’Excelente resultado!’)
LINHA 31: DELIMITER())
LINHA 31: DELIMITER($)
LINHA 32: DELIMITER(})
LINHA 34: KEYWORD(se)
LINHA 34: DELIMITER([)
LINHA 34: OPERATOR(!)
LINHA 34: IDENTIFIER(aprovado)
LINHA 34: OPERATOR(&&)
LINHA 34: IDENTIFIER(media)
LINHA 34: OPERATOR(>)
LINHA 34: DELIMITER(])
LINHA 34: KEYWORD(faz)
LINHA 34: DELIMITER({)
LINHA 35: KEYWORD(mostre)
LINHA 35: DELIMITER(()
LINHA 35: STRING(’Verificar recuperacao.’)
LINHA 35: DELIMITER())
LINHA 35: DELIMITER($)
LINHA 36: DELIMITER(})
LINHA 37: KEYWORD(fim)
